tf,target,edge_score,ASI,blacklisted,pert_abs_delta,pert_significant,source
ETS1,LYZ,-0.49018866,0.008702941,False,0.02505484120558421,False,Dixit
ETS1,S100A8,-0.4914505,0.13311999,False,0.00048783427410701425,False,Dixit
ETS1,S100A9,-0.5508219,0.09278444,False,0.000663776833618511,False,Dixit
ETS1,SELL,-0.012059765,2.4623418,True,0.0001851227148001851,False,Dixit
ETS1,ITGB1,0.029815631,3.547416,True,0.012730194730151079,False,Dixit
ETS1,ICAM1,-0.30649316,0.033687584,False,0.0014885564302028198,False,Dixit
ETS1,MKI67,-0.05216506,0.59858066,True,0.019333504198373097,False,Dixit
ETS1,TOP2A,-0.030938976,1.8162049,True,0.011568309543090072,False,Dixit
ETS1,CDK1,-0.061659336,0.026967019,False,0.00034354763277233413,False,Dixit
ETS1,PCNA,0.026030615,3.72591,True,0.013418574863246935,False,Dixit
ETS1,BCL2,0.36447215,0.08436975,False,0.000659019415604162,False,Dixit
ETS1,BCL2L1,-0.13199472,0.26823974,False,0.019446914229122425,False,Dixit
ETS1,MCL1,-0.2031905,0.15132748,False,0.026418410713105966,False,Dixit
ETS1,BAX,0.07599466,0.507228,True,0.009906138557243538,False,Dixit
ETS1,BAK1,-0.0082328115,1.0717835,True,0.00019310950209115718,False,Dixit
ETS1,PDCD1,0.1464032,0.06921479,False,1.7548914906815065e-05,False,Dixit
ETS1,LAG3,0.15468766,0.18241642,False,0.0006694683487890596,False,Dixit
ETS1,HAVCR2,-0.14937809,0.23659413,False,0.00016324450431874624,False,Dixit
ETS1,TOX,0.29970938,0.10055309,False,0.005644342491772948,True,Dixit
ETS1,FN1,-0.16016433,0.22307391,False,0.0028425215606175842,False,Dixit
ETS1,COL1A1,0.013243396,0.07144254,False,0.001268639675790806,False,Dixit
ETS1,VIM,-0.09046799,0.92134213,True,0.05343729378138873,True,Dixit
ETS1,ACTA2,0.06545392,0.42707548,False,8.980217489149905e-05,False,Dixit
ETS1,CDH1,-0.051137112,0.5302451,True,6.370078867187319e-05,False,Dixit
ETS1,EPCAM,-0.08284053,0.19418117,False,0.021511621104136514,False,Dixit
ETS1,SFTPB,-0.053894036,0.41983774,False,7.334748492170717e-05,False,Dixit
ETS1,SFTPA1,-0.026953839,1.7402248,True,0.0003051400427721194,False,Dixit
ETS1,SCGB1A1,-0.035271473,0.2533721,False,0.0002853724914428893,False,Dixit
ETS1,MUC5AC,-0.019269448,1.5101706,True,0.0,False,Dixit
ETS1,FOXJ1,0.037288174,0.21944644,False,5.2774771596587716e-05,False,Dixit
ETS1,VWF,-0.047345616,0.46761924,False,0.0,False,Dixit
ETS1,NOTCH1,-0.08290149,0.34402117,False,0.00506213678375525,False,Dixit
ETS1,DLL4,-0.02534577,0.13353212,False,0.001146657141612428,False,Dixit
ETS1,JAG1,-0.09866305,0.28327703,False,0.000780239456834325,False,Dixit
ETS1,CTNNB1,-0.11182289,0.40709862,False,0.001661240250096549,False,Dixit
ETS1,TGFB1,0.07385582,0.3229018,False,0.016673156223767804,False,Dixit
ETS1,TGFBR1,-0.06279467,0.9355695,True,0.004917791099407508,False,Dixit
ETS1,SMAD3,0.120063245,0.08838945,False,0.002166916821003978,False,Dixit
ETS1,SMAD7,0.06870023,0.12624343,False,0.003918029787479887,False,Dixit
ETS1,SOD2,-0.31425172,0.051310927,False,0.0007684625939720635,False,Dixit
ETS1,HMOX1,-0.33189344,0.042053983,False,0.0012592561080150332,True,Dixit
ETS1,NQO1,-0.008768687,5.617881,True,0.0007137077845006945,False,Dixit
ETS1,GSTP1,-0.108930625,0.4179225,False,0.006478411873200862,False,Dixit
ETS1,GAPDH,-0.015425026,0.25549772,False,0.019419196911640846,False,Dixit
ETS1,ACTB,-0.17358267,0.25009623,False,0.008479824287423332,False,Dixit
ETS1,RPL13A,0.34907043,0.29201943,False,0.030448810444419383,False,Dixit
ETS1,RPS18,0.3732972,0.2914317,False,0.02925614212412775,False,Dixit
ETS1,PTPRC,0.23982677,0.2460869,False,0.014493544751050635,False,Dixit
ETS1,ENG,-0.13227159,0.79961854,True,0.0036915466061071007,False,Dixit
E2F4,CD3D,0.03197472,0.83084774,True,0.010481793810171308,False,Dixit
E2F4,CD3E,0.043781705,1.5068456,True,9.744086154964268e-05,False,Dixit
E2F4,CD4,0.032541838,0.43019384,False,0.0004481897668448652,False,Dixit
E2F4,CD19,0.04542361,0.68758386,True,0.0013574249546020462,False,Dixit
E2F4,MS4A1,0.0053496114,0.634764,True,0.0,False,Dixit
E2F4,CD79A,0.010186166,0.22334391,False,0.00011540150583315423,False,Dixit
E2F4,CD79B,0.02615947,0.6805607,True,0.0020273116098418107,False,Dixit
E2F4,CD14,0.009869877,2.7220957,True,0.00038997852666929414,False,Dixit
E2F4,CD68,0.042788137,0.51600283,True,0.0038161712429120864,False,Dixit
E2F4,ITGAM,-0.04066897,0.6855798,True,0.0008837625915833773,False,Dixit
E2F4,ITGAX,-0.056341767,0.39750147,False,0.00013300393816419206,False,Dixit
E2F4,FCGR3A,-0.0026779082,0.62827533,True,0.0002947964449756422,False,Dixit
E2F4,CSF1R,0.023655014,0.36305732,False,0.0001505065117671619,False,Dixit
E2F4,IL2,0.021236194,2.670341,True,0.0,False,Dixit
E2F4,IL6,0.010551695,0.13562256,False,0.010045388948548978,True,Dixit
E2F4,IL10,0.007727715,1.4832127,True,0.0004858949424891922,False,Dixit
E2F4,IL17A,-0.008487511,3.977457,True,0.0,False,Dixit
E2F4,TNF,0.008933855,2.0746412,True,0.000616945563606845,False,Dixit
E2F4,TNFRSF9,-0.007902605,2.9358394,True,0.0008607562810597852,False,Dixit
E2F4,TNFRSF18,0.016364276,1.0721773,True,0.0015895680449634188,True,Dixit
E2F4,GZMB,0.018769061,0.9162897,True,0.0,False,Dixit
E2F4,PRF1,0.037563384,0.4206678,False,0.0045387350136433385,True,Dixit
E2F4,GNLY,0.009499874,5.8165884,True,0.0004263317402213681,False,Dixit
E2F4,NKG7,0.03031078,2.1198742,True,0.0006431991238205052,False,Dixit
E2F4,CCL5,0.0133193685,4.2284474,True,0.0006268841084834829,False,Dixit
E2F4,CCR7,0.0062082494,2.28008,True,0.0010432859290157106,False,Dixit
E2F4,CXCR4,0.02085172,1.0069244,True,0.00036872974810216636,False,Dixit
E2F4,CCL2,0.005352946,5.7469563,True,0.0009483790825891877,False,Dixit
E2F4,CXCL10,0.0022618657,3.659406,True,0.0,False,Dixit
E2F4,HLA-B,0.013013561,4.113246,True,0.0016839522207923875,False,Dixit
E2F4,HLA-C,0.03646551,2.178126,True,0.00027111618411555284,False,Dixit
E2F4,B2M,-0.014085795,4.6351943,True,0.022572383065904145,False,Dixit
E2F4,LYZ,-0.008032816,1.9788579,True,0.000811195067109638,False,Dixit
E2F4,S100A8,-0.05659542,0.21238625,False,0.0009337873201258144,False,Dixit
E2F4,S100A9,-0.04627259,1.3481123,True,0.000663776833618511,False,Dixit
E2F4,SELL,-0.014402342,2.1965125,True,0.0001851227148001851,False,Dixit
E2F4,ITGB1,0.052291505,0.44599938,False,0.008620646797473819,False,Dixit
E2F4,ICAM1,-0.02854412,0.048677713,False,0.015037833968635061,False,Dixit
E2F4,MKI67,0.06657491,0.15827087,False,0.01225038767800496,False,Dixit
E2F4,TOP2A,0.057185173,0.09667811,False,0.017248142826929325,False,Dixit
E2F4,CDK1,0.060434483,0.16275235,False,0.0479938213320662,False,Dixit
E2F4,PCNA,0.058407538,0.5734867,True,0.0030330705158285176,False,Dixit
E2F4,BCL2,0.006399107,1.1099678,True,0.00024928982398880165,False,Dixit
E2F4,BCL2L1,0.033354197,5.028625,True,0.020234297593019257,False,Dixit
E2F4,MCL1,-0.033417165,1.2929271,True,0.0032607620614488186,False,Dixit
E2F4,BAX,0.08583731,0.037704207,False,0.012959052116581105,False,Dixit
E2F4,BAK1,0.045425527,0.718299,True,0.008961071069010076,False,Dixit
E2F4,PDCD1,0.019437186,4.0159,True,0.0009812724125072116,False,Dixit
E2F4,LAG3,0.030882735,0.81849074,True,0.00023949664639919162,False,Dixit
E2F4,HAVCR2,0.014305772,3.2821486,True,0.00016324450431874624,False,Dixit
E2F4,TOX,0.005996336,4.0657845,True,0.003705861848098899,False,Dixit
E2F4,FN1,0.023248797,1.3626974,True,0.000937600057277093,False,Dixit
E2F4,COL1A1,0.0038320986,0.834997,True,1.573611682139666e-05,False,Dixit
E2F4,VIM,0.029210642,1.8084778,True,0.008460315524098316,False,Dixit
E2F4,ACTA2,-0.0053458163,1.115225,True,8.980217489149905e-05,False,Dixit
E2F4,CDH1,0.017395038,1.3398359,True,6.370078867187319e-05,False,Dixit
E2F4,EPCAM,-0.013952427,1.0673081,True,0.029285737651222554,False,Dixit
E2F4,SFTPB,-0.0015192435,0.37436488,False,0.0005533736878830651,False,Dixit
E2F4,SFTPA1,0.003934174,1.0109193,True,0.0003051400427721194,False,Dixit
E2F4,SCGB1A1,-0.0059395814,3.2394152,True,0.0002853724914428893,False,Dixit
E2F4,MUC5AC,-0.009479424,1.3225336,True,0.0,False,Dixit
E2F4,FOXJ1,-0.002943373,1.2170779,True,5.2774771596587716e-05,False,Dixit
E2F4,VWF,0.0012325225,2.7402167,True,0.0,False,Dixit
E2F4,NOTCH1,-0.015716892,0.834898,True,0.0018169266244824483,False,Dixit
E2F4,DLL4,0.007494689,2.0980709,True,0.0006422280906681747,False,Dixit
E2F4,JAG1,-0.004240596,0.6570141,True,0.0009610261637337187,False,Dixit
E2F4,CTNNB1,-0.0066767354,2.639666,True,0.0006848845209715682,False,Dixit
E2F4,TGFB1,0.035124436,0.5820322,True,0.0009326938738750123,False,Dixit
E2F4,TGFBR1,-0.0050664367,1.5535326,True,0.0021070880930061375,False,Dixit
E2F4,SMAD3,0.0023010913,3.1250231,True,0.005380357754201211,False,Dixit
E2F4,SMAD7,0.009118665,3.539415,True,0.0007232685295737104,False,Dixit
E2F4,SOD2,-0.061054938,0.57637215,True,0.017361407856796518,False,Dixit
E2F4,HMOX1,0.028576277,2.4860828,True,0.00012476412908046412,False,Dixit
E2F4,NQO1,0.011702738,2.7388957,True,0.01076947787809207,False,Dixit
E2F4,GSTP1,0.078034766,0.30164975,False,0.011422347696914859,False,Dixit
E2F4,GAPDH,0.07850428,0.3452873,False,0.04245123533303641,True,Dixit
E2F4,ACTB,0.043734327,0.4175561,False,0.01649362439868285,False,Dixit
E2F4,RPL13A,0.054969005,0.23596267,False,0.027881962907116087,False,Dixit
E2F4,RPS18,0.086395845,0.016818253,False,0.00932602942862637,False,Dixit
E2F4,PTPRC,-0.05831684,0.66546655,True,0.008691806320744566,False,Dixit
E2F4,ENG,0.03015931,1.9080687,True,0.0007838940111567876,False,Dixit
